0.000	9.71343800	0.25967330
0.001	9.62189800	0.26214870
0.002	9.53065600	0.26463580
0.003	9.44129700	0.26713470
0.004	9.35365700	0.26964530
0.005	9.26630800	0.27216770
0.006	9.18074700	0.27470180
0.007	9.09617500	0.27724760
0.008	9.01301100	0.27980520
0.009	8.93068700	0.28237460
0.010	8.84961200	0.28495560
0.011	8.76963000	0.28754840
0.012	8.69051800	0.29015300
0.013	8.61282200	0.29276930
0.014	8.53586200	0.29539740
0.015	8.45981100	0.29803710
0.016	8.38476700	0.30068870
0.017	8.31088900	0.30335200
0.018	8.23775600	0.30602700
0.019	8.16478800	0.30871370
0.020	8.09393700	0.31141220
0.021	8.02365700	0.31412250
0.022	7.95503500	0.31684450
0.023	7.88641300	0.31957820
0.024	7.81826500	0.32232370
0.025	7.75166600	0.32508090
0.026	7.68611300	0.32784980
0.027	7.62162200	0.33063050
0.028	7.55713100	0.33342300
0.029	7.49264000	0.33622720
0.030	7.42996500	0.33904310
0.031	7.36796500	0.34187080
0.032	7.30734700	0.34471020
0.033	7.24672900	0.34756140
0.034	7.18611200	0.35042430
0.035	7.12588700	0.35329890
0.036	7.06745600	0.35618530
0.037	7.01040300	0.35908340
0.038	6.95419000	0.36199330
0.039	6.89797800	0.36491490
0.040	6.84176500	0.36784830
0.041	6.78555200	0.37079340
0.042	6.73100500	0.37375020
0.043	6.67767800	0.37671880
0.044	6.62579100	0.37969910
0.045	6.57390400	0.38269120
0.046	6.52201700	0.38569500
0.047	6.47013000	0.38871050
0.048	6.41824300	0.39173780
0.049	6.36742600	0.39477690
0.050	6.31811600	0.39782770
0.051	6.27024500	0.40089020
0.052	6.22237400	0.40396450
0.053	6.17450300	0.40705050
0.054	6.12663200	0.41014820
0.055	6.07876100	0.41325770
0.056	6.03089000	0.41637900
0.057	5.98416800	0.41951190
0.058	5.93925100	0.42265670
0.059	5.89534600	0.42581310
0.060	5.85144100	0.42898140
0.061	5.80753600	0.43216130
0.062	5.76363100	0.43535300
0.063	5.71972700	0.43855640
0.064	5.67582200	0.44177160
0.065	5.63191700	0.44499850
0.066	5.58926100	0.44823720
0.067	5.54905700	0.45148760
0.068	5.50942800	0.45474980
